candidate_id,status,mesh_dimension,packet_count,seed,repeat,trace_mode,graph_build_seconds,graph_validation_seconds,compile_seconds,peak_working_set_bytes,topology_canonical_sha256
p0-stage-reviewer-scaling-81e4dbdcb1b117cf,completed,4,10000,0,0,full,0.205956,0.0041657,0.053113,72208384,a61ebe0fcca87f68a95fe7aa274877fcd20e3a20d8bf2f72a8d9fde7536aaee1
p0-stage-reviewer-scaling-2502ceb6c30c836a,completed,4,10000,0,0,metrics_only,0.1992674,0.004185,0.0506251,63598592,a61ebe0fcca87f68a95fe7aa274877fcd20e3a20d8bf2f72a8d9fde7536aaee1
p0-stage-reviewer-scaling-80f0d0152c524c55,completed,4,10000,1,0,full,0.2075566,0.0044289,0.0505594,72105984,a61ebe0fcca87f68a95fe7aa274877fcd20e3a20d8bf2f72a8d9fde7536aaee1
p0-stage-reviewer-scaling-1cf7f8ccd74ad2d5,completed,4,10000,1,0,metrics_only,0.2129678,0.0043853,0.0560694,63696896,a61ebe0fcca87f68a95fe7aa274877fcd20e3a20d8bf2f72a8d9fde7536aaee1
p0-stage-reviewer-scaling-288f42d1aff4d22e,completed,4,10000,2,0,full,0.1940372,0.0042171,0.0528217,72192000,a61ebe0fcca87f68a95fe7aa274877fcd20e3a20d8bf2f72a8d9fde7536aaee1
p0-stage-reviewer-scaling-396e29c59d24a7ec,completed,4,10000,2,0,metrics_only,0.1998088,0.0041604,0.054194,63606784,a61ebe0fcca87f68a95fe7aa274877fcd20e3a20d8bf2f72a8d9fde7536aaee1
p0-stage-reviewer-scaling-8cd6a4e255ed6b43,completed,4,10000,40,0,full,0.1842554,0.0038018,0.0491329,70905856,a61ebe0fcca87f68a95fe7aa274877fcd20e3a20d8bf2f72a8d9fde7536aaee1
p0-stage-reviewer-scaling-ea0b959901a6d557,completed,4,10000,40,0,metrics_only,0.1783579,0.0041902,0.0506053,62664704,a61ebe0fcca87f68a95fe7aa274877fcd20e3a20d8bf2f72a8d9fde7536aaee1
p0-stage-reviewer-scaling-646ef0c3df30d357,completed,4,10000,40,1,full,0.1768231,0.0037407,0.0472648,70983680,a61ebe0fcca87f68a95fe7aa274877fcd20e3a20d8bf2f72a8d9fde7536aaee1
p0-stage-reviewer-scaling-970ed2dc15445a09,completed,4,10000,40,1,metrics_only,0.1784171,0.0038643,0.0501074,62427136,a61ebe0fcca87f68a95fe7aa274877fcd20e3a20d8bf2f72a8d9fde7536aaee1
